Point ID,Label,Annual_Precipitation,Distance_to_Nearest_Karst_Feature,Distance_to_Nearest_Water_body,Elevation_(m),Hydrualic_Head_Difference,IAS_Thickness,LULC,Overburden_Thickness,SAS_Thickness,Shear_Waves_Velocities,Slope,Surface_Geology,TPI
0.0,0.0,1222.0,35381.31641,416.3717346,16.0,-3.657599926,44.50080109,2000.0,72.08320618,27.27759933,333.9127502,0.085863851,7.0,-0.384221077
1.0,0.0,1278.0,18626.59961,284.1338501,49.0,10.66800022,42.67200089,1000.0,50.21920013,7.547199249,313.2873535,0.305290461,3.0,-2.032272339
2.0,0.0,1244.0,29191.9082,270.5659485,39.0,0.609600008,7.924799919,2000.0,19.49279976,14.56799889,334.5460815,0.213490948,3.0,-1.661266327
3.0,0.0,1258.0,14102.13867,267.9689941,48.0,11.27760029,57.91200256,2000.0,82.74720001,23.83519936,330.8291016,0.200891674,3.0,0.90322876
4.0,0.0,1236.0,29576.4082,595.354126,40.0,3.96239996,32.61360168,2000.0,72.0039978,39.39039993,273.3377686,0.186680824,3.0,0.638893127
5.0,0.0,1228.0,45897.47266,1727.90625,29.0,3.96239996,66.4464035,1000.0,88.74079895,20.29439926,231.3226166,0.024449315,7.0,1.044847488
6.0,0.0,1254.0,24369.44922,269.4269714,43.0,3.96239996,66.4464035,2000.0,87.50080109,23.05439949,235.1007996,0.417079419,3.0,3.534805298
7.0,0.0,1265.0,5806.028809,403.4921875,57.0,6.705600262,14.93519974,1000.0,36.57839966,20.64319992,214.9824371,0.184165984,3.0,7.443149567
8.0,0.0,1266.0,2741.375244,469.0049133,39.0,-2.43840003,40.53839874,2000.0,52.41120148,6.87279892,309.3616333,1.424222827,3.0,3.373268127
9.0,0.0,1254.0,17559.13867,234.4168396,38.0,10.36320019,57.3024025,2000.0,77.92880249,20.62639999,283.9104309,0.076587699,3.0,-2.248088837
10.0,0.0,1275.0,18721.30664,30.06387901,46.0,3.96239996,36.57600021,1000.0,44.78079987,8.204799652,290.606842,1.035729647,3.0,-4.274417877
11.0,0.0,1264.0,12737.38867,833.7022705,48.0,3.96239996,15.23999977,1000.0,27.57839966,12.33839798,291.3301392,1.373152494,3.0,5.064277649
12.0,0.0,1236.0,34013.46094,912.6241455,39.0,3.048000097,12.80160046,6000.0,30.770401,19.96879959,223.3471222,0.149079889,3.0,-1.952098846
13.0,0.0,1231.0,37249.27344,966.3543091,21.0,-3.352800131,48.46319962,6000.0,76.16880035,25.79120064,234.606369,0.173884422,7.0,-3.352401733
14.0,0.0,1266.0,7583.429199,283.3043213,50.0,5.181600094,62.48400116,2000.0,74.38400269,11.89999771,249.9559174,0.080732062,3.0,6.051013947
15.0,0.0,1232.0,38136.45703,3188.572266,33.0,-7.619999886,40.84320068,1000.0,85.42559814,44.58240128,250.6590424,0.019175557,7.0,-6.320165634
16.0,0.0,1279.0,19129.33789,381.8111877,47.0,11.88720036,90.83039856,1000.0,112.8367996,21.70159912,347.9171753,0.44987765,3.0,5.060375214
17.0,0.0,1230.0,35943.73047,2998.475586,28.0,-4.267199993,40.53839874,2000.0,66.70960236,26.1711998,314.4910278,0.042929124,7.0,-5.052520752
18.0,0.0,1226.0,27447.56836,150.1009979,32.0,1.524000049,21.94560051,6000.0,49.67839813,29.81839943,314.2110291,0.47721827,7.0,-0.035081863
19.0,0.0,1229.0,32155.76563,642.5739746,32.0,2.743200064,43.58639908,2000.0,60.95600128,13.4552002,273.3315125,0.046465032,7.0,6.515478134
20.0,0.0,1274.0,9769.804688,239.4904327,61.0,14.02080059,33.52799988,2000.0,62.21920013,29.69120026,347.8392334,1.297141671,3.0,13.72845459
21.0,0.0,1222.0,51237.43359,980.7729492,26.0,0.609600008,70.10400391,4000.0,91.53199768,17.12319946,226.3521423,0.120951213,7.0,-1.335294724
22.0,0.0,1283.0,18016.88672,975.7445068,41.0,13.71600056,46.93920135,1000.0,58.67839813,11.73920059,540.1635742,0.420648038,3.0,4.559288025
23.0,0.0,1254.0,19115.63672,390.331543,51.0,2.43840003,23.77440071,1000.0,42.770401,20.99599838,225.1083069,0.586482465,3.0,6.259723663
24.0,0.0,1226.0,27715.7793,161.2998962,36.0,2.43840003,20.42160034,6000.0,50.93519974,28.90399933,275.2042847,0.399870664,7.0,1.572723389
